mechanism,condition,trial,Vm_mean_100_600_mV,cAMP_mean_400_600_uM,gmod_mean_400_600_S_per_cm2,Ik_mean_400_600_mA_per_cm2
k_mod_pd,PD + A2A ON,1,-15.373120,3.019975,0.550000,0.010673
k_mod_pd,PD + A2A ON,2,-15.361702,3.019975,0.550000,0.010708
k_mod_pd,PD + A2A ON,3,-15.238534,3.019975,0.550000,0.011097
k_mod_pd,PD + A2A ON,4,-15.482971,3.019975,0.550000,0.010338
k_mod_pd,PD + A2A ON,5,-15.584556,3.019975,0.550000,0.010038
k_mod_pd,PD + A2A ON,6,-15.284873,3.019975,0.550000,0.010950
k_mod_pd,PD + A2A ON,7,-15.199461,3.019975,0.550000,0.011224
k_mod_pd,PD + A2A ON,8,-15.170983,3.019975,0.550000,0.011317
k_mod_pd,PD + A2A ON,9,-15.393597,3.019975,0.550000,0.010610
k_mod_pd,PD + A2A ON,10,-15.379637,3.019975,0.550000,0.010653
k_mod_pd,PD + A2A ON,11,-15.196422,3.019975,0.550000,0.011234
k_mod_pd,PD + A2A ON,12,-15.227308,3.019975,0.550000,0.011134
k_mod_pd,PD + A2A ON,13,-15.365993,3.019975,0.550000,0.010695
k_mod_pd,PD + A2A ON,14,-15.160151,3.019975,0.550000,0.011352
k_mod_pd,PD + A2A ON,15,-15.248313,3.019975,0.550000,0.011066
k_mod_pd,PD + A2A ON,16,-15.286201,3.019975,0.550000,0.010945
k_mod_pd,PD + A2A ON,17,-15.369955,3.019975,0.550000,0.010683
k_mod_pd,PD + A2A ON,18,-15.189055,3.019975,0.550000,0.011258
k_mod_pd,PD + A2A ON,19,-15.163125,3.019975,0.550000,0.011342
k_mod_pd,PD + A2A ON,20,-15.277959,3.019975,0.550000,0.010971
k_mod_pd,PD + A2A OFF,1,-6.559483,1.000000,0.050000,0.010877
k_mod_pd,PD + A2A OFF,2,-6.776563,1.000000,0.050000,0.010328
k_mod_pd,PD + A2A OFF,3,-6.762151,1.000000,0.050000,0.010363
k_mod_pd,PD + A2A OFF,4,-6.830809,1.000000,0.050000,0.010195
k_mod_pd,PD + A2A OFF,5,-6.775532,1.000000,0.050000,0.010330
k_mod_pd,PD + A2A OFF,6,-6.874738,1.000000,0.050000,0.010088
k_mod_pd,PD + A2A OFF,7,-6.990466,1.000000,0.050000,0.009812
k_mod_pd,PD + A2A OFF,8,-7.201163,1.000000,0.050000,0.009327
k_mod_pd,PD + A2A OFF,9,-6.836155,1.000000,0.050000,0.010182
k_mod_pd,PD + A2A OFF,10,-6.948738,1.000000,0.050000,0.009911
k_mod_pd,PD + A2A OFF,11,-6.714736,1.000000,0.050000,0.010481
k_mod_pd,PD + A2A OFF,12,-6.872776,1.000000,0.050000,0.010093
k_mod_pd,PD + A2A OFF,13,-6.936249,1.000000,0.050000,0.009940
k_mod_pd,PD + A2A OFF,14,-6.537149,1.000000,0.050000,0.010935
k_mod_pd,PD + A2A OFF,15,-6.893384,1.000000,0.050000,0.010043
k_mod_pd,PD + A2A OFF,16,-6.786102,1.000000,0.050000,0.010304
k_mod_pd,PD + A2A OFF,17,-6.763745,1.000000,0.050000,0.010359
k_mod_pd,PD + A2A OFF,18,-6.682269,1.000000,0.050000,0.010563
k_mod_pd,PD + A2A OFF,19,-6.703086,1.000000,0.050000,0.010511
k_mod_pd,PD + A2A OFF,20,-6.893388,1.000000,0.050000,0.010043
k_mod_pd,Control + A2A ON,1,-6.823966,1.000000,0.050000,0.010211
k_mod_pd,Control + A2A ON,2,-6.709787,1.000000,0.050000,0.010494
k_mod_pd,Control + A2A ON,3,-6.974223,1.000000,0.050000,0.009850
k_mod_pd,Control + A2A ON,4,-6.996855,1.000000,0.050000,0.009797
k_mod_pd,Control + A2A ON,5,-6.909836,1.000000,0.050000,0.010004
k_mod_pd,Control + A2A ON,6,-6.747580,1.000000,0.050000,0.010400
k_mod_pd,Control + A2A ON,7,-6.938210,1.000000,0.050000,0.009936
k_mod_pd,Control + A2A ON,8,-6.839422,1.000000,0.050000,0.010174
k_mod_pd,Control + A2A ON,9,-6.986492,1.000000,0.050000,0.009821
k_mod_pd,Control + A2A ON,10,-6.998393,1.000000,0.050000,0.009793
k_mod_pd,Control + A2A ON,11,-6.991818,1.000000,0.050000,0.009809
k_mod_pd,Control + A2A ON,12,-7.056222,1.000000,0.050000,0.009658
k_mod_pd,Control + A2A ON,13,-6.621021,1.000000,0.050000,0.010718
k_mod_pd,Control + A2A ON,14,-6.828615,1.000000,0.050000,0.010200
k_mod_pd,Control + A2A ON,15,-7.111804,1.000000,0.050000,0.009530
k_mod_pd,Control + A2A ON,16,-6.676940,1.000000,0.050000,0.010576
k_mod_pd,Control + A2A ON,17,-6.832821,1.000000,0.050000,0.010190
k_mod_pd,Control + A2A ON,18,-6.960383,1.000000,0.050000,0.009883
k_mod_pd,Control + A2A ON,19,-6.774026,1.000000,0.050000,0.010334
k_mod_pd,Control + A2A ON,20,-6.921274,1.000000,0.050000,0.009976
k_mod_pd,Control Baseline,1,-6.998791,1.000000,0.050000,0.009792
k_mod_pd,Control Baseline,2,-6.871073,1.000000,0.050000,0.010097
k_mod_pd,Control Baseline,3,-6.851015,1.000000,0.050000,0.010145
k_mod_pd,Control Baseline,4,-6.955309,1.000000,0.050000,0.009895
k_mod_pd,Control Baseline,5,-7.113498,1.000000,0.050000,0.009526
k_mod_pd,Control Baseline,6,-6.849834,1.000000,0.050000,0.010148
k_mod_pd,Control Baseline,7,-7.069937,1.000000,0.050000,0.009626
k_mod_pd,Control Baseline,8,-6.866069,1.000000,0.050000,0.010109
k_mod_pd,Control Baseline,9,-7.184452,1.000000,0.050000,0.009365
k_mod_pd,Control Baseline,10,-6.799894,1.000000,0.050000,0.010270
k_mod_pd,Control Baseline,11,-7.019525,1.000000,0.050000,0.009744
k_mod_pd,Control Baseline,12,-7.106765,1.000000,0.050000,0.009542
k_mod_pd,Control Baseline,13,-6.910494,1.000000,0.050000,0.010002
k_mod_pd,Control Baseline,14,-6.901942,1.000000,0.050000,0.010022
k_mod_pd,Control Baseline,15,-6.647955,1.000000,0.050000,0.010650
k_mod_pd,Control Baseline,16,-6.901920,1.000000,0.050000,0.010023
k_mod_pd,Control Baseline,17,-6.827654,1.000000,0.050000,0.010202
k_mod_pd,Control Baseline,18,-6.739937,1.000000,0.050000,0.010419
k_mod_pd,Control Baseline,19,-7.313178,1.000000,0.050000,0.009078
k_mod_pd,Control Baseline,20,-7.047299,1.000000,0.050000,0.009679
